id,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Expected_Lifetime,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians
COMSATBw-2 (COmmunications SATellite fåÙr BundesWehr),23,15,4,1,,1.218284209,0.61103217,-0.193874309,0.844349553,0.115319798,,-0.056773138,1.191373152,3,7,0.009501519,-0.851768781
Coriolis (Windsat),65,15,18,2,6,-0.882662896,-0.615775502,-0.183646183,-0.685513654,-0.588442677,-0.687273938,-0.563145908,-1.203602622,21,125,,0.840372202
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,-0.886028258,-0.615950996,-0.155419727,-0.686201434,-0.912355535,,-0.808712754,-1.403183937,21,73,,0.380998434
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,-0.885727779,-0.61612649,-0.160969872,-0.686201434,-0.912355535,,-0.808712754,-1.403183937,21,73,,0.380998434
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,-0.891737353,-0.619109886,-0.152089639,-0.688494034,-0.912355535,,-0.808712754,-1.403183937,21,73,,0.380998434
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,-0.886809502,-0.615494712,-0.141068635,-0.686201434,-0.912355535,,-0.808712754,-1.403183937,21,73,,0.380998434
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,-0.885547492,-0.616231786,-0.164220672,-0.686201434,-0.912355535,,-0.808712754,-1.403183937,21,73,,0.380998434
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),34,3,33,2,6,-0.894561853,-0.623427036,-0.194667187,-0.690442743,-0.205557732,,-0.035003028,-0.804439993,21,35,,0.824945472
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),34,17,12,2,6,-0.894561853,-0.623427036,-0.194667187,-0.690442743,-0.205557732,,,-0.804439993,21,29,,0.824945472
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),34,17,12,2,6,-0.894561853,-0.623427036,-0.194667187,-0.690442743,-0.205557732,,,-0.804439993,21,37,,0.824945472
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),34,17,12,2,6,-0.894561853,-0.623427036,-0.194667187,-0.690442743,-0.205557732,,,-0.804439993,21,29,,0.824945472
Cryosat-2,13,10,12,2,,-0.88909314,-0.61988206,-0.189037753,-0.688150144,-0.630503651,,,-1.203602622,0,39,,0.723814679
Cubebug 1Ì_Ì_(Capitåàn Beto),1,0,44,2,6,-0.894081087,-0.622374073,-0.182219003,-0.690041538,-0.941841579,,,,5,25,,0.827516594
"Cubebug 2 (Manolito, LO-74)",1,0,44,2,6,-0.896244534,-0.620197949,-0.126955407,-0.689754963,-0.941841579,,,,2,39,,0.82323139
"Cubesat XI-IV (Oscar 57, CO-57)",35,0,44,2,6,-0.882963375,-0.616161589,-0.186976271,-0.685742914,,-0.989959533,,,12,39,,0.838658121
"Cubesat XI-V (Oscar 58, CO-58)",35,0,44,2,6,-0.891196491,-0.620619134,-0.181188261,-0.688837924,-0.942275197,-0.989959533,,,12,53,,0.824945472
CUNYSat-1Ì_Ì_(City University of New York Satellite-1),65,0,44,2,,-0.90531899,-0.614196057,0.054455078,-0.689525703,-0.942275197,,,,21,19,,1.208899665
CUSat-1 (Cornell University Satellite 1),65,0,44,2,,-0.912350192,-0.593873863,0.426235569,-0.683920297,,,-0.818248062,-1.702555909,21,44,,0.535094336
"Cute-1 (Cubical Titech Engineering satellite, Oscar 55, CO-55)",35,0,44,2,6,-0.883023471,-0.616196688,-0.186976271,-0.685742914,,-0.989959533,,-1.602765252,12,39,,0.838658121
Cute-1.7 + APD II (Cubical Titech Engineering satellite+Avalanche Photodiode),35,0,44,2,6,-0.895343097,-0.623251543,-0.184439061,-0.690557373,,,,-1.602765252,16,90,,0.82323139
DANDE (Drag and Atmospheric Neutral Density Explorer),65,2,44,2,,-0.912350192,-0.593522876,0.431309988,-0.683794204,-0.921027901,-0.961534744,,-1.502974594,21,44,,0.535265745
Deimos 1,55,10,12,2,6,-0.892218119,-0.622058184,-0.194667187,-0.689525703,-0.90368317,,,-0.804439993,0,39,,0.826659553
Delfi-C3 (DO-64),43,0,44,2,6,-0.896004151,-0.623672728,-0.184994076,-0.690901263,-0.939890296,,,,16,90,,0.82323139
Delfi-n3Xt,43,0,44,2,6,-0.896244534,-0.617916528,-0.090720882,-0.688952554,-0.940757533,,,,2,39,,0.821517309
DirecTV-10,65,5,4,1,,1.218584688,0.610821577,-0.194905051,0.84433809,1.615639061,1.851751174,3.099892879,1.191373152,0,98,-1.277337847,-0.852454413
DirecTV-11,65,5,4,1,,1.218644784,0.61075138,-0.195222202,0.84433809,1.615639061,,,,15,138,-1.238157728,-0.852625821
DirecTV-12,65,5,4,1,,1.218584688,0.61075138,-0.195142914,0.844269312,1.615639061,,1.075272606,1.191373152,0,24,-1.278003798,-0.851597373
DirecTV-1R,48,5,4,1,,1.218164018,0.611067269,-0.193636446,0.84433809,0.540265717,0.77929155,1.075272606,1.191373152,15,138,0.483436667,-0.852625821
DirecTV-4S,65,5,4,1,,1.218284209,0.610961972,-0.194112173,0.844326627,0.921849807,0.62257109,0.944651943,1.191373152,3,5,-1.259690145,-0.852283005
DirecTV-5 (Tempo 1),65,5,4,1,,1.217863539,0.611207664,-0.19276428,0.844315164,0.921849807,1.805656921,,1.191373152,0,97,-1.358472881,-0.851940189
DirecTV-7S,65,5,4,1,,1.217923635,0.611137466,-0.193081431,0.84433809,1.434820237,1.698103663,2.011387356,1.191373152,14,138,-1.458254543,-0.852968638
DirecTV-8,65,5,4,1,,1.218103922,0.611102368,-0.193398582,0.84433809,0.705040665,,0.966422054,0.592629209,0,99,-1.255916423,-0.852797229
DirecTV-9S,65,5,4,1,,1.217923635,0.611172565,-0.193002143,0.84433809,1.442191748,0.825385803,2.20731835,1.191373152,3,8,-1.258913202,-0.852625821
DLR Tubsat,23,10,16,2,6,-0.889153236,-0.619601269,-0.184042622,-0.688150144,-0.923195993,,-0.792602872,-1.602765252,13,84,,0.836944039
"DMSP 5D-2 F13 (Defense Meteorological Satellites Program, USA 109)",65,15,17,2,6,-0.881160503,-0.615284119,-0.189751344,-0.685020745,-0.450985681,-0.358468265,-0.62279601,-0.804439993,21,22,,0.840372202
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",65,15,17,2,6,-0.88134079,-0.615284119,-0.1880863,-0.685055134,-0.450985681,-0.358468265,-0.62279601,-0.804439993,21,125,,0.842086283
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",65,15,17,2,6,-0.881641269,-0.615424515,-0.187531285,-0.685169764,-0.443180552,-0.358468265,-0.62279601,-0.804439993,21,125,,0.842086283
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",65,15,17,2,6,-0.881280694,-0.615389416,-0.190306358,-0.685089523,-0.442313315,-0.35693179,-0.62279601,-0.804439993,21,125,,0.842086283
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 191)",65,15,17,2,6,-0.88134079,-0.615284119,-0.1880863,-0.685066597,-0.442313315,-0.35693179,-0.62279601,-0.804439993,21,33,,0.840200794
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",65,15,17,2,6,-0.88134079,-0.615143724,-0.185866241,-0.685009282,-0.441879697,-0.35693179,-0.62279601,-0.804439993,21,19,,0.842600508
Dove-2,65,5,44,2,6,-0.898347885,-0.624866086,-0.182060427,-0.691726599,-0.940193829,,,-1.702555909,0,105,,0.258955852
Dove-3,65,5,44,2,6,-0.896244534,-0.616688071,-0.071374659,-0.688608664,-0.940107106,,,,2,39,,0.821517309
Dove-4,65,5,44,2,6,-0.896244534,-0.616688071,-0.071374659,-0.688608664,-0.940107106,,,,2,39,,0.821517309
"DRTS (Data Relay Test Satellite, Kodama)",35,10,44,1,,1.21798373,0.611207664,-0.193002143,0.844361016,0.206379638,0.161628558,-0.361554685,-0.405277364,19,48,0.870465205,-0.852797229
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",65,15,4,1,,1.217743348,0.61131296,-0.192288553,0.844361016,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,15,0.529054312,-0.852625821
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",65,15,4,1,,1.217082294,0.611734146,-0.190147783,0.84433809,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,33,-0.719825846,-0.852283005
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",65,15,4,1,,1.216902007,0.611839442,-0.189592768,0.84433809,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,33,-1.580456556,-0.809602383
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",65,15,4,1,,1.213837124,0.61362948,-0.179998944,0.844372479,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,15,-1.636618426,-0.852968638
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",65,15,4,1,,1.217923635,0.611207664,-0.192843568,0.844361016,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,15,-0.271862789,-0.852454413
"DSCS III-F6 (USA 82, DSCS III B-12) (Defense Satellite Communications System)",65,15,4,1,,1.214558273,0.613173196,-0.182377578,0.84433809,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,13,-0.271196838,-0.852283005
"DSCS III-F8 (USA 97, DSCS III B-10) (Defense Satellite Communications System)",65,15,4,1,,1.216841911,0.611839442,-0.18951348,0.844349553,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,13,0.493092956,-0.774463717
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",65,15,4,1,,1.218524592,0.610681182,-0.195222202,0.84433809,-0.441446079,-0.311605774,-0.548777635,0.19346658,1,15,-0.718604936,-0.853140046
DSP 18 (USA 130) (Defense Support Program),65,15,11,1,,1.218284209,0.611242763,-0.193319295,0.844532961,0.089302701,,-0.495440864,-0.804439993,1,130,,-0.851425965
DSP 20 (USA 149) (Defense Support Program),65,15,11,1,,1.225315411,0.61506853,-0.194112173,-0.638996807,0.089302701,,-0.495440864,-1.702555909,1,130,-0.539353118,-0.783205532
DSP 21 (USA 159) (Defense Support Program),65,15,11,1,,1.217382773,0.611593751,-0.191019948,0.844383942,0.089302701,,-0.495440864,-1.702555909,1,127,0.634163582,-0.790061857
DSP 22 (USA 176) (Defense Support Program),65,15,11,1,,1.215940475,0.612365924,-0.186659119,0.844361016,0.089302701,,-0.495440864,-1.702555909,1,127,1.015531536,-0.828971501
DubaiSat-1,63,10,12,2,6,-0.892158023,-0.621426406,-0.185073363,-0.689296443,-0.855985158,,-0.740354607,-0.804439993,0,39,,0.826659553
DubaiSat-2,63,10,12,2,6,-0.896785395,-0.624129012,-0.184994076,-0.691176375,-0.81262333,,-0.740354607,-0.804439993,2,39,,0.82323139
Eagle 2 ($50Sat),65,0,44,2,6,-0.896124342,-0.622865456,-0.17080156,-0.690672003,-0.941841579,,,,2,39,,0.82323139
Echostar 1,40,5,4,1,,1.218043826,0.611067269,-0.193398582,0.844303701,0.482594485,0.545747334,0.705180728,0.592629209,23,60,0.719294322,-0.852968638
Echostar 10,65,5,4,1,,1.218284209,0.610961972,-0.194112173,0.84422346,0.93615921,,1.358284042,1.191373152,14,138,-1.358694864,-0.852111597
Echostar 11,65,5,4,1,,1.218164018,0.610997071,-0.193795021,0.84433809,1.442191748,,3.535295089,1.191373152,14,138,-1.357584946,-0.852625821
Echostar 12 (Rainbow-1),65,5,4,1,,1.218404401,0.610926874,-0.194350036,0.844349553,0.933991119,,,1.790117096,1,19,-0.821050402,-0.852111597
Echostar 14,65,5,4,1,,1.218584688,0.610856676,-0.194825763,0.844349553,1.825510311,1.485301861,3.535295089,1.191373152,0,98,-1.457810575,-0.852283005
Echostar 15,65,5,4,1,,1.218825071,0.611348059,-0.193874309,0.84487685,1.451297732,,3.535295089,1.191373152,0,98,-0.819607508,-0.851940189
Echostar 16,65,5,4,1,,1.218043826,0.611102368,-0.193319295,0.844292238,1.944321721,1.489143049,,1.191373152,0,98,-0.819607508,-0.852283005
Echostar 17,65,5,4,1,,1.218344305,0.61103217,-0.194032885,0.844372479,1.702362718,,2.686260781,1.191373152,3,8,-1.325730288,-0.852968638
Echostar 3,65,5,4,1,,1.218464496,0.610891775,-0.194587899,0.844349553,0.650404761,0.315276069,1.358284042,0.592629209,1,14,-0.819163541,-0.852797229
Echostar 6,65,5,4,1,,1.21798373,0.611172565,-0.193081431,0.844361016,0.661678836,0.156250895,1.575985147,0.592629209,1,14,-0.944029358,-0.851940189
Echostar 7,65,5,4,1,,1.218404401,0.610856676,-0.194587899,0.844303701,0.803472015,0.699394845,2.011387356,0.592629209,1,18,-1.456145698,-0.852968638
Echostar 8,65,5,4,1,,1.218464496,0.610856676,-0.194667187,0.84433809,1.077952389,,1.358284042,0.592629209,0,95,-0.991311881,-0.852968638
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",65,5,4,1,,1.21798373,0.611137466,-0.193160719,0.844315164,0.791764321,0.929866111,,0.792210523,14,138,-1.480230927,-0.852968638
"Echostar G1 (ICO G1, DBSD G1)",65,5,4,1,,1.217863539,0.611207664,-0.19276428,0.84433809,1.91917186,,2.66449067,1.191373152,1,19,-1.168343863,-0.754923192
EduSAT,34,0,44,2,6,-0.893540225,-0.620935023,-0.164220672,-0.689411073,-0.938372632,,,,2,40,,0.830087714
Electro-L1 (GOMS 2 [Geostationary Ioperational Meteorological Satellite 2],48,10,24,1,,1.190820456,0.609487824,-0.154864712,0.829722767,-0.176938925,,,0.19346658,0,133,0.706530261,-0.845255272
ELISA-E12 (ELectronic Intelligence by SAtellite),18,15,19,2,4,-0.891376779,-0.621005221,-0.185628378,-0.689032795,-0.890674621,,,,3,108,,0.830259123
ELISA-E24 (ELectronic Intelligence by SAtellite),18,15,19,2,4,-0.891256587,-0.621005221,-0.186817695,-0.688998406,-0.890674621,,,,3,108,,0.830259123
ELISA-W11 (ELectronic Intelligence by SAtellite),18,15,19,2,4,-0.891376779,-0.621005221,-0.185628378,-0.689032795,-0.890674621,,,,3,108,,0.830259123
ELISA-W23 (ELectronic Intelligence by SAtellite),18,15,19,2,4,-0.891256587,-0.621005221,-0.186817695,-0.689009869,-0.890674621,,,,3,108,,0.830259123
EO-1 (Earth Observing 1),65,10,14,2,6,-0.891196491,-0.621075418,-0.188482739,-0.689067184,-0.694679157,,-0.688106342,-0.804439993,21,29,,0.828373634
EOS-AM Terra,69,10,16,2,6,-0.889754194,-0.620619134,-0.194667187,-0.688608664,1.162074336,,-0.26794321,-0.604858679,21,14,,0.830087714
EOS-CHEM Aura,65,10,31,2,6,-0.889754194,-0.620619134,-0.194667187,-0.688608664,0.343836634,,0.182698077,-0.804439993,21,29,,0.830087714
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",72,10,12,2,6,-0.889814289,-0.620584035,-0.193557158,-0.688608664,0.32952723,1.184920978,0.239300364,-0.604858679,21,28,,0.830087714
EROS A1 (Earth Resources Observation Satellite),33,16,31,2,6,-0.900090661,-0.626094544,-0.185469802,-0.692506083,-0.838640427,,,-0.604858679,17,121,,0.819803228
EROS B1 (Earth Resources Observation Satellite),33,16,31,2,6,-0.901412767,-0.627252804,-0.191733539,-0.693193863,-0.790942416,,-0.644566121,0.19346658,17,121,,0.816375065
e-st@r,34,0,44,0,,-0.913552107,-0.599208878,0.360823135,-0.6859951,,-0.989959533,,-1.602765252,3,132,,0.337803587
EstCube-1,17,0,44,2,6,-0.892398406,-0.621742295,-0.187927724,-0.689491314,-0.942275197,,,-1.602765252,3,132,,0.828887858
Eurasiasat 1 (Turksat 2A),62,5,4,1,,1.21714239,0.611593751,-0.190623509,0.844292238,0.590131819,0.468923579,1.140582937,1.191373152,3,1,0.330045947,-0.852797229
"Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)",42,5,4,1,,1.218043826,0.611102368,-0.193319295,0.844326627,0.864178575,0.337554958,1.793686251,1.790117096,3,5,0.362899531,-0.853140046
Eutelsat 10A (Eutelsat W-2A),42,5,4,1,,1.218344305,0.612014936,-0.1913371,0.844326627,1.615639061,,,1.191373152,0,98,-0.026015869,-0.852625821
Eutelsat 12 West A (Atlantic Bird 1),42,5,4,1,,1.21756306,0.611418257,-0.191733539,0.84433809,0.228060552,0.200040436,0.291548629,1.191373152,3,9,-0.274970561,-0.851254557
Eutelsat 16A (Eutelsat W3C),42,5,4,1,,1.218224113,0.611067269,-0.193715734,0.844361016,1.398829919,,,,23,64,0.040579234,-0.849711883
"Eutelsat 16B (Eurobird 16, Atlantic Bird 4, Hot Bird 4)",42,5,4,1,,1.217202486,0.611593751,-0.190702797,0.84433809,0.308279935,0.015663423,0.487479623,0.991791838,3,1,-0.216810838,-0.852797229
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",42,5,4,1,,1.21672172,0.611839442,-0.189275617,0.844292238,0.141336895,,0.400399181,,0,97,0.262118942,-0.851940189
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",42,5,4,1,,1.217803443,0.611207664,-0.192684992,0.84433809,1.225382606,,2.011387356,1.390954467,0,98,1.772717853,-0.852968638
"Eutelsat 48C (Eutelsat 21A, W-6, Eutelsat W-3)",42,5,4,1,,1.217683252,0.61131296,-0.192209265,0.844326627,0.137000712,0.069440052,0.443939402,0.592629209,3,1,0.395753115,-0.851940189
Eutelsat 25B (EsÌ¥hail 1),42,5,4,1,,1.214978943,0.610084503,-0.191257812,0.841965249,,,,1.191373152,3,8,0.14602148,-0.851768781
"Eutelsat 25C (Eutelsat 70A, Eutelsat W-5)",42,5,4,1,,1.218284209,0.610891775,-0.194270748,0.844269312,0.431861146,0.468923579,0.465709513,0.592629209,1,14,0.14602148,-0.852797229
"Eutelsat 28A (Eurobird 1, Eurosat 1)",42,5,4,1,,1.218764975,0.61103217,-0.194667187,0.84433809,0.336465123,0.065598864,0.465709513,0.592629209,3,7,0.179984982,-0.851940189
"Eutelsat 33A (Eurobird 3, E-bird)",42,5,4,1,,1.218344305,0.610891775,-0.194350036,0.844292238,-0.281440932,0.007981047,-0.470405237,0.19346658,3,7,0.230819244,-0.852283005
Eutelsat 36A (Eutelsat W-4),42,5,4,1,,1.217442869,0.611453355,-0.191495675,0.844315164,0.440533511,0.069440052,0.487479623,0.592629209,1,17,0.263561836,-0.851940189
Eutelsat 36B (Eutelsat W-7),42,5,4,1,,1.218644784,0.610786479,-0.195142914,0.844326627,1.485553576,,2.054927577,1.191373152,0,24,0.26256291,-0.851940189
"Eutelsat 3A (Sinosat-5C, Sinosat-3, Xinnuo 3, Chinasat-5C, XN-3)",42,5,4,1,,1.218164018,0.610997071,-0.193795021,0.844315164,0.01125141,,,-0.20569605,23,63,-0.119249012,-0.852968638
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",42,5,4,1,,1.217442869,0.611453355,-0.191495675,0.844303701,1.178551831,0.730124347,1.575985147,1.191373152,3,8,-0.137784649,-0.852111597
Eutelsat 3D,42,5,4,1,,1.218524592,0.61103217,-0.194270748,0.844464183,1.400564392,,,1.191373152,0,98,-0.103710155,-0.852625821
"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",42,5,4,1,,1.216902007,0.611769244,-0.189751344,0.844303701,0.321288483,0.315276069,,0.991791838,1,29,-0.036227118,-0.851768781
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",42,5,4,1,,1.218103922,0.611137466,-0.193319295,0.844361016,1.269611671,0.591841587,,1.191373152,3,8,0.395753115,-0.851597373
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)",42,5,4,1,,1.217623156,0.611418257,-0.191812826,0.844315164,0.813445236,0.395941012,1.575985147,1.191373152,3,7,-0.191726682,-0.852454413
Eutelsat 7 West A (Atlantic Bird 7),42,5,4,1,,1.217923635,0.611207664,-0.192843568,0.844326627,1.051935292,,1.793686251,1.191373152,15,138,-0.214701993,-0.852111597
Eutelsat 70B (Eutelsat W5A),42,5,4,1,,1.218284209,0.611242763,-0.193319295,0.844544424,1.333787177,,,1.191373152,15,138,0.639935157,-0.852111597
Eutelsat 7A (Eutelsat W3A),42,5,4,1,,1.217623156,0.61131296,-0.192129978,0.844303701,0.921849807,0.545747334,,1.191373152,0,98,-0.058647469,-0.852111597
Eutelsat 8 West A (Atlantic Bird 2),42,5,4,1,,1.217442869,0.611453355,-0.191495675,0.84433809,0.42318878,0.060221201,0.79226117,1.191373152,3,1,-0.226800103,-0.852111597
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",42,5,4,1,,1.21798373,0.611207664,-0.193002143,0.84433809,0.83512615,0.346005571,1.358284042,1.191373152,3,7,-0.470094212,-0.851940189
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",42,5,4,1,,1.216841911,0.611769244,-0.189672056,0.844292238,0.705040665,0.468923579,1.140582937,0.592629209,1,19,-0.048214236,-0.851597373
Eutelsat Hot Bird 13B (Hot Bird 8),42,5,4,1,,1.217022199,0.611663948,-0.19022707,0.844292238,1.182020777,,2.229088461,1.191373152,0,99,0.008169617,-0.852797229
Eutelsat Hot Bird 13C (Hot Bird 9),42,5,4,1,,1.218644784,0.610786479,-0.195142914,0.844326627,1.173348412,0.805411627,2.337939013,1.191373152,3,7,-0.126019514,-0.852111597
Eutelsat KA-SAT 9A (KA-SAT),42,5,4,1,,1.21431789,0.613208294,-0.181901851,0.844234923,1.724043632,1.467632397,1.575985147,1.191373152,0,95,-0.037115052,-0.85091174
exactView 1,9,5,22,2,6,-0.883504236,-0.616477478,-0.186976271,-0.685857544,-0.899346987,,,,0,111,,0.843800364
Express AM22 (Sesat 2),49,5,4,1,,1.218344305,0.610891775,-0.194350036,0.844292238,0.184698724,,0.487479623,0.592629209,0,97,0.451693001,-0.852797229
Express-2A (Ekspress A No. 2),48,5,4,1,,1.218464496,0.610891775,-0.194587899,0.844349553,0.184698724,,-0.274474243,0.19346658,0,97,1.003988385,-0.806002813
"Express-A1R (Express 4A, Ekspress-A No. 4)",48,5,4,1,,1.217923635,0.611172565,-0.193002143,0.84433809,0.184698724,,0.487479623,-1.702555909,0,97,0.018047891,-0.852797229
Express-AM2,48,5,4,1,,1.218584688,0.610821577,-0.194905051,0.84433809,0.159548863,,0.487479623,0.592629209,0,97,0.751259971,-0.852454413
Express-AM3,48,5,4,1,,1.218103922,0.611067269,-0.193557158,0.84433809,0.184698724,,0.095617635,0.592629209,0,97,1.418764883,-0.851597373
Express-AM33,48,5,4,1,,1.218404401,0.610926874,-0.194350036,0.84433809,0.184698724,,,0.592629209,0,98,0.934396503,-0.852283005
Express-AM44,48,5,4,1,,1.230724028,0.618087025,-0.194508612,0.856339849,0.15521268,,,0.592629209,0,98,-0.259098728,-0.851254557
Express-AM5,48,5,4,1,,1.196649742,0.616156592,-0.146222342,0.838033441,0.531593351,,,1.191373152,0,98,1.416878022,-0.851768781
Falconsat-3,65,3,44,2,,-0.899609895,-0.626340235,-0.194112173,-0.692506083,-0.922762374,,,,1,19,,-0.246355293
"FAST 1 (Sara Lilly and Emma, USA 222)",65,0,44,2,6,-0.894261374,-0.622338974,-0.179919657,-0.690053001,-0.91885981,,,,7,75,,0.380484211
Fengniao 1 (Hummingbird 1),11,10,44,2,,-0.902614682,-0.627744186,-0.188324163,-0.693549216,,,,,18,58,,0.815518025
Fengniao 1A (Hummingbird 1A),11,10,44,2,,-0.902614682,-0.627744186,-0.188324163,-0.693549216,,,,,18,58,,0.815518025
Fengyun 2D (FY-2D),11,10,16,1,,1.218103922,0.610926874,-0.193874309,0.84422346,-0.3399794,-0.514420488,,-1.203602622,23,63,0.823182682,-0.839941621
Fengyun 2E (FY-2E),11,10,16,1,,1.217502965,0.611348059,-0.191812826,0.844269312,-0.3399794,-0.514420488,,-1.203602622,23,63,1.234740416,-0.808402526
Fengyun 2F (FY-2F),11,10,16,1,,1.217082294,0.611804343,-0.189989207,0.844441257,-0.3399794,-0.514420488,,-1.203602622,23,63,1.02840659,-0.815601667
Fengyun 3A (FY-3A),11,10,16,2,6,-0.882662896,-0.615986095,-0.186976271,-0.685513654,0.054613238,,,,18,67,,0.836944039
Fengyun 3B (FY-3B),11,10,16,2,6,-0.882242226,-0.616231786,-0.194667187,-0.685513654,0.054613238,,,,18,67,,0.840372202
Fengyun 3C (FY-3C),11,10,16,2,,-0.882242226,-0.616231786,-0.194667187,-0.685570969,0.054613238,,,,18,67,,0.84054361
Fermi Gamma-Ray Space Telescope (formerly GLAST),65,10,1,2,,-0.899669991,-0.625778655,-0.184359773,-0.692276823,0.923150662,,,,1,29,,-0.414335252
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",65,15,30,2,,-0.865775993,-0.606439227,-0.19205069,-0.6788078,,,,,21,19,,1.25500845
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",65,15,30,2,,-0.867759152,-0.606439227,-0.174528086,-0.679209005,,,,,21,33,,1.255179858
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",65,15,30,2,,-0.867879344,-0.607351795,-0.187214134,-0.679552895,,,,,21,19,,1.255179858
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",65,2,41,2,,-0.90531899,-0.614196057,0.054455078,-0.689525703,-0.941841579,,,-1.203602622,21,19,,1.208899665
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",65,2,41,2,,-0.90531899,-0.614196057,0.054455078,-0.689525703,-0.941841579,,,-1.203602622,21,19,,1.208899665
Firefly,65,11,16,2,,-0.901893533,-0.627533594,-0.191733539,-0.693331419,-0.94140796,,,-1.602765252,22,74,,-0.158765742
FLTSATCOM-8 (USA 46),65,15,4,1,,1.216180858,0.612260627,-0.187293422,0.844372479,0.058949421,0.456631778,,-0.804439993,1,21,-0.300609675,-0.69938696
"Formosat-2 (ROCSAT-2, Republic of China Satellite 2)",58,13,31,2,6,-0.878456194,-0.613950366,-0.193557158,-0.684023464,-0.611424446,-0.505969875,-0.688106342,-0.804439993,21,124,,0.843800364
FORTåÄ (Fast On-orbit Recording of Transient Events),65,10,12,2,2,-0.884465768,-0.61640728,-0.176986008,-0.686086804,-0.849480884,-0.959230031,-0.806753444,-1.203602622,21,93,,0.34671681
FUNCube-1 (AO-73),43,0,4,2,,-0.896244534,-0.62132111,-0.144874449,-0.690213483,-0.942275197,,,,2,39,,0.82323139
Galaxy-11,65,5,4,1,,1.218584688,0.611067269,-0.194270748,0.844349553,1.003370044,1.141131438,1.445364484,0.991791838,3,1,-0.753012406,-0.852283005
Galaxy-12,65,5,4,1,,1.21798373,0.611102368,-0.193240007,0.844303701,-0.179540635,-0.376137729,,1.191373152,3,7,-1.501097392,-0.852283005
"Galaxy-13 (Horizons 1, Galaxy 13L)",71,5,4,1,,1.218344305,0.610891775,-0.194350036,0.844303701,0.817781418,1.029736992,1.053502495,1.191373152,15,137,-1.54627107,-0.852968638
