id,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Expected_Lifetime,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians
Deimos 1,55,10,12,2,6,661.0,662.0,7e-05,98.0,90.0,,,5.0,0,39,,1.7104226669999998
Delfi-C3 (DO-64),43,0,44,2,6,598.0,616.0,0.0012900000000000001,96.8,6.5,,,,16,90,,1.7069320080000001
Delfi-n3Xt,43,0,44,2,6,594.0,780.0,0.01318,98.5,4.5,,,,2,39,,1.705186679
DirecTV-10,65,5,4,1,,35785.0,35788.0,4e-05,1436.1,5900.0,3700.0,18000.0,15.0,0,98,-1.793151273,0.000698132
DirecTV-11,65,5,4,1,,35786.0,35786.0,0.0,1436.1,5900.0,,,,15,138,-1.7315411509999998,0.000523599
DirecTV-12,65,5,4,1,,35785.0,35786.0,1e-05,1436.04,5900.0,,8700.0,15.0,0,24,-1.7941984709999999,0.001570796
DirecTV-1R,48,5,4,1,,35778.0,35795.0,0.0002,1436.1,3420.0,2304.0,8700.0,15.0,15,138,0.975639052,0.000523599
DirecTV-4S,65,5,4,1,,35780.0,35792.0,0.00014,1436.09,4300.0,2100.0,8100.0,15.0,3,5,-1.7654005380000002,0.000872665
DirecTV-5 (Tempo 1),65,5,4,1,,35773.0,35799.0,0.00031,1436.08,4300.0,3640.0,,15.0,0,97,-1.9207348419999999,0.00122173
DirecTV-7S,65,5,4,1,,35774.0,35797.0,0.00027,1436.1,5483.0,3500.0,13000.0,15.0,14,138,-2.077639942,0.000174533
DirecTV-8,65,5,4,1,,35777.0,35796.0,0.00022999999999999998,1436.1,3800.0,,8200.0,12.0,0,99,-1.759466419,0.000349066
DirecTV-9S,65,5,4,1,,35774.0,35798.0,0.00028,1436.1,5500.0,2364.0,13900.0,15.0,3,8,-1.764178808,0.000523599
DLR Tubsat,23,10,16,2,6,712.0,732.0,0.00141,99.2,45.0,,120.0,1.0,13,84,,1.720894642
"DMSP 5D-2 F13 (Defense Meteorological Satellites Program, USA 109)",65,15,17,2,6,845.0,855.0,0.0006900000000000001,101.93,1134.0,823.0,900.0,5.0,21,22,,1.7243853009999999
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",65,15,17,2,6,842.0,855.0,0.0009,101.9,1134.0,823.0,900.0,5.0,21,125,,1.72613063
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",65,15,17,2,6,837.0,851.0,0.0009699999999999999,101.8,1152.0,823.0,900.0,5.0,21,125,,1.72613063
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",65,15,17,2,6,843.0,852.0,0.00062,101.87,1154.0,825.0,900.0,5.0,21,125,,1.72613063
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 191)",65,15,17,2,6,842.0,855.0,0.0009,101.89,1154.0,825.0,900.0,5.0,21,33,,1.724210768
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",65,15,17,2,6,842.0,859.0,0.00118,101.94,1155.0,825.0,900.0,5.0,21,19,,1.726654229
Dove-2,65,5,44,2,6,559.0,582.0,0.0016600000000000002,96.08,5.8,,,0.5,0,105,,1.132369619
Dove-3,65,5,44,2,6,594.0,815.0,0.015619999999999998,98.8,6.0,,,,2,39,,1.705186679
Dove-4,65,5,44,2,6,594.0,815.0,0.015619999999999998,98.8,6.0,,,,2,39,,1.705186679
"DRTS (Data Relay Test Satellite, Kodama)",35,10,44,1,,35775.0,35799.0,0.00028,1436.12,2650.0,1500.0,2100.0,7.0,19,48,1.5842353619999998,0.000349066
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",65,15,4,1,,35771.0,35802.0,0.00037,1436.12,1156.0,884.0,1240.0,10.0,1,15,1.047372084,0.000523599
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",65,15,4,1,,35760.0,35814.0,0.00064,1436.1,1156.0,884.0,1240.0,10.0,1,33,-0.91647239,0.000872665
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",65,15,4,1,,35757.0,35817.0,0.0007099999999999999,1436.1,1156.0,884.0,1240.0,10.0,1,33,-2.269800692,0.044331363
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",65,15,4,1,,35706.0,35868.0,0.0019199999999999998,1436.13,1156.0,884.0,1240.0,10.0,1,15,-2.358114352,0.000174533
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",65,15,4,1,,35774.0,35799.0,0.0003,1436.12,1156.0,884.0,1240.0,10.0,1,15,-0.21205750399999998,0.000698132
"DSCS III-F6 (USA 82, DSCS III B-12) (Defense Satellite Communications System)",65,15,4,1,,35718.0,35855.0,0.00162,1436.1,1156.0,884.0,1240.0,10.0,1,13,-0.21101030699999998,0.000872665
"DSCS III-F8 (USA 97, DSCS III B-10) (Defense Satellite Communications System)",65,15,4,1,,35756.0,35817.0,0.00072,1436.11,1156.0,884.0,1240.0,10.0,1,13,0.9908234159999999,0.080110613
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",65,15,4,1,,35784.0,35784.0,0.0,1436.1,1156.0,884.0,1240.0,10.0,1,15,-0.914552528,0.0
DSP 18 (USA 130) (Defense Support Program),65,15,11,1,,35780.0,35800.0,0.00023999999999999998,1436.27,2380.0,,1485.0,5.0,1,130,,0.0017453289999999999
DSP 20 (USA 149) (Defense Support Program),65,15,11,1,,35897.0,35909.0,0.00014,142.08,2380.0,,1485.0,0.5,1,130,-0.632681854,0.071209433
DSP 21 (USA 159) (Defense Support Program),65,15,11,1,,35765.0,35810.0,0.00053,1436.14,2380.0,,1485.0,0.5,1,127,1.212654764,0.064228116
DSP 22 (USA 176) (Defense Support Program),65,15,11,1,,35741.0,35832.0,0.00108,1436.12,2380.0,,1485.0,0.5,1,127,1.812349895,0.024609142
DubaiSat-1,63,10,12,2,6,662.0,680.0,0.00128,98.2,200.0,,360.0,5.0,0,39,,1.7104226669999998
DubaiSat-2,63,10,12,2,6,585.0,603.0,0.0012900000000000001,96.56,300.0,,360.0,5.0,2,39,,1.7069320080000001
Eagle 2 ($50Sat),65,0,44,2,6,596.0,639.0,0.0030800000000000003,97.0,2.0,,,,2,39,,1.7069320080000001
Echostar 1,40,5,4,1,,35776.0,35795.0,0.00022999999999999998,1436.07,3287.0,2000.0,7000.0,12.0,23,60,1.346521518,0.000174533
Echostar 10,65,5,4,1,,35780.0,35792.0,0.00014,1436.0,4333.0,,10000.0,15.0,14,138,-1.9210839080000002,0.001047198
Echostar 11,65,5,4,1,,35778.0,35793.0,0.00018,1436.1,5500.0,,20000.0,15.0,14,138,-1.919338578,0.000523599
Echostar 12 (Rainbow-1),65,5,4,1,,35782.0,35791.0,0.00011,1436.11,4328.0,,,18.0,1,19,-1.075646418,0.001047198
Echostar 14,65,5,4,1,,35785.0,35789.0,5e-05,1436.11,6384.0,3223.0,20000.0,15.0,0,98,-2.07694181,0.000872665
Echostar 15,65,5,4,1,,35789.0,35803.0,0.00016999999999999999,1436.57,5521.0,,20000.0,15.0,0,98,-1.07337749,0.00122173
Echostar 16,65,5,4,1,,35776.0,35796.0,0.00023999999999999998,1436.06,6658.0,3228.0,,15.0,0,98,-1.07337749,0.000872665
Echostar 17,65,5,4,1,,35781.0,35794.0,0.00015,1436.13,6100.0,,16100.0,15.0,3,8,-1.869247629,0.000174533
Echostar 3,65,5,4,1,,35783.0,35790.0,8e-05,1436.11,3674.0,1700.0,10000.0,12.0,1,14,-1.072679358,0.000349066
Echostar 6,65,5,4,1,,35775.0,35798.0,0.00027,1436.12,3700.0,1493.0,11000.0,12.0,1,14,-1.269028899,0.00122173
Echostar 7,65,5,4,1,,35782.0,35789.0,8e-05,1436.07,4027.0,2200.0,13000.0,12.0,1,18,-2.074323816,0.000174533
Echostar 8,65,5,4,1,,35783.0,35789.0,7e-05,1436.1,4660.0,,10000.0,12.0,0,95,-1.343379925,0.000174533
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",65,5,4,1,,35775.0,35797.0,0.00026000000000000003,1436.08,4000.0,2500.0,,13.0,14,138,-2.112197461,0.000174533
"Echostar G1 (ICO G1, DBSD G1)",65,5,4,1,,35773.0,35799.0,0.00031,1436.1,6600.0,,16000.0,15.0,1,19,-1.6217599409999999,0.100007366
EduSAT,34,0,44,2,6,639.0,694.0,0.00391,98.1,10.0,,,,2,40,,1.713913325
Electro-L1 (GOMS 2 [Geostationary Ioperational Meteorological Satellite 2],48,10,24,1,,35323.0,35750.0,0.00509,1423.35,1766.0,,,10.0,0,133,1.326450232,0.008028515
ELISA-E12 (ELectronic Intelligence by SAtellite),18,15,19,2,4,675.0,692.0,0.00121,98.43,120.0,,,,3,108,,1.714087858
ELISA-E24 (ELectronic Intelligence by SAtellite),18,15,19,2,4,677.0,692.0,0.00106,98.46,120.0,,,,3,108,,1.714087858
ELISA-W11 (ELectronic Intelligence by SAtellite),18,15,19,2,4,675.0,692.0,0.00121,98.43,120.0,,,,3,108,,1.714087858
ELISA-W23 (ELectronic Intelligence by SAtellite),18,15,19,2,4,677.0,692.0,0.00106,98.45,120.0,,,,3,108,,1.714087858
EO-1 (Earth Observing 1),65,10,14,2,6,678.0,690.0,0.00085,98.4,572.0,,600.0,5.0,21,29,,1.712167996
EOS-AM Terra,69,10,16,2,6,702.0,703.0,7e-05,98.8,4854.0,,2530.0,6.0,21,14,,1.713913325
EOS-CHEM Aura,65,10,31,2,6,702.0,703.0,7e-05,98.8,2967.0,,4600.0,5.0,21,29,,1.713913325
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",72,10,12,2,6,701.0,704.0,0.00021,98.8,2934.0,2832.0,4860.0,6.0,21,28,,1.713913325
EROS A1 (Earth Resources Observation Satellite),33,16,31,2,6,530.0,547.0,0.00123,95.4,240.0,,,6.0,17,121,,1.70344135
EROS B1 (Earth Resources Observation Satellite),33,16,31,2,6,508.0,514.0,0.00044,94.8,350.0,,800.0,10.0,17,121,,1.699950691
e-st@r,34,0,44,0,,306.0,1313.0,0.07013,101.08,,1.0,,1.0,3,132,,1.212654764
EstCube-1,17,0,44,2,6,658.0,671.0,0.0009199999999999999,98.03,1.0,,,1.0,3,132,,1.712691595
Eurasiasat 1 (Turksat 2A),62,5,4,1,,35761.0,35810.0,0.00058,1436.06,3535.0,1900.0,9000.0,15.0,3,1,0.734434549,0.000349066
"Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)",42,5,4,1,,35776.0,35796.0,0.00023999999999999998,1436.09,4167.0,1729.0,12000.0,18.0,3,5,0.786096295,0.0
Eutelsat 10A (Eutelsat W-2A),42,5,4,1,,35781.0,35822.0,0.00049,1436.09,5900.0,,,15.0,0,98,0.174532925,0.000523599
Eutelsat 12 West A (Atlantic Bird 1),42,5,4,1,,35768.0,35805.0,0.00044,1436.1,2700.0,1550.0,5100.0,15.0,3,9,-0.21694442600000002,0.001919862
Eutelsat 16A (Eutelsat W3C),42,5,4,1,,35779.0,35795.0,0.00018999999999999998,1436.12,5400.0,,,,23,64,0.27925268,0.003490659
"Eutelsat 16B (Eurobird 16, Atlantic Bird 4, Hot Bird 4)",42,5,4,1,,35762.0,35810.0,0.00057,1436.1,2885.0,1310.0,6000.0,14.0,3,1,-0.125489173,0.000349066
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",42,5,4,1,,35754.0,35817.0,0.00075,1436.06,2500.0,,5600.0,,0,97,0.627620399,0.00122173
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",42,5,4,1,,35772.0,35799.0,0.00032,1436.1,5000.0,,13000.0,16.0,0,98,3.0030135110000002,0.000174533
"Eutelsat 48C (Eutelsat 21A, W-6, Eutelsat W-3)",42,5,4,1,,35770.0,35802.0,0.00037999999999999997,1436.09,2490.0,1380.0,5800.0,12.0,3,1,0.837758041,0.00122173
Eutelsat 25B (EsÕhail 1),42,5,4,1,,35725.0,35767.0,0.0005,1434.03,,,,15.0,3,8,0.445058959,0.0013962629999999998
"Eutelsat 25C (Eutelsat 70A, Eutelsat W-5)",42,5,4,1,,35780.0,35790.0,0.00011999999999999999,1436.04,3170.0,1900.0,5900.0,12.0,1,14,0.445058959,0.000349066
"Eutelsat 28A (Eurobird 1, Eurosat 1)",42,5,4,1,,35788.0,35794.0,7e-05,1436.1,2950.0,1375.0,5900.0,12.0,3,7,0.498466034,0.00122173
"Eutelsat 33A (Eurobird 3, E-bird)",42,5,4,1,,35781.0,35790.0,0.00011,1436.06,1525.0,1300.0,1600.0,10.0,3,7,0.578402114,0.000872665
Eutelsat 36A (Eutelsat W-4),42,5,4,1,,35766.0,35806.0,0.00047000000000000004,1436.08,3190.0,1380.0,6000.0,12.0,1,17,0.629889327,0.00122173
Eutelsat 36B (Eutelsat W-7),42,5,4,1,,35786.0,35787.0,1e-05,1436.09,5600.0,,13200.0,15.0,0,24,0.628318531,0.00122173
"Eutelsat 3A (Sinosat-5C, Sinosat-3, Xinnuo 3, Chinasat-5C, XN-3)",42,5,4,1,,35778.0,35793.0,0.00018,1436.08,2200.0,,,8.0,23,63,0.027925268,0.000174533
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",42,5,4,1,,35766.0,35806.0,0.00047000000000000004,1436.07,4892.0,2240.0,11000.0,15.0,3,8,-0.00122173,0.001047198
Eutelsat 3D,42,5,4,1,,35784.0,35794.0,0.00011999999999999999,1436.21,5404.0,,,15.0,0,98,0.052359878,0.000523599
"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",42,5,4,1,,35757.0,35815.0,0.0006900000000000001,1436.07,2915.0,1700.0,,14.0,1,29,0.158475896,0.0013962629999999998
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",42,5,4,1,,35777.0,35797.0,0.00023999999999999998,1436.12,5102.0,2060.0,,15.0,3,8,0.837758041,0.001570796
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)",42,5,4,1,,35769.0,35805.0,0.00043,1436.08,4050.0,1805.0,11000.0,15.0,3,7,-0.086044732,0.000698132
Eutelsat 7 West A (Atlantic Bird 7),42,5,4,1,,35774.0,35799.0,0.0003,1436.09,4600.0,,12000.0,15.0,15,138,-0.122173048,0.001047198
Eutelsat 70B (Eutelsat W5A),42,5,4,1,,35780.0,35800.0,0.00023999999999999998,1436.28,5250.0,,,15.0,15,138,1.2217304759999998,0.001047198
Eutelsat 7A (Eutelsat W3A),42,5,4,1,,35769.0,35802.0,0.00039,1436.07,4300.0,2000.0,,15.0,0,98,0.123220245,0.001047198
Eutelsat 8 West A (Atlantic Bird 2),42,5,4,1,,35766.0,35806.0,0.00047000000000000004,1436.1,3150.0,1368.0,7400.0,15.0,3,1,-0.141197136,0.001047198
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",42,5,4,1,,35775.0,35799.0,0.00028,1436.1,4100.0,1740.0,10000.0,15.0,3,7,-0.523773309,0.00122173
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",42,5,4,1,,35756.0,35815.0,0.0007,1436.06,3800.0,1900.0,9000.0,12.0,1,19,0.13962634,0.001570796
Eutelsat Hot Bird 13B (Hot Bird 8),42,5,4,1,,35759.0,35812.0,0.00063,1436.06,4900.0,,14000.0,15.0,0,99,0.228289066,0.000349066
Eutelsat Hot Bird 13C (Hot Bird 9),42,5,4,1,,35786.0,35787.0,1e-05,1436.09,4880.0,2338.0,14500.0,15.0,3,7,0.01727876,0.001047198
Eutelsat KA-SAT 9A (KA-SAT),42,5,4,1,,35714.0,35856.0,0.00168,1436.01,6150.0,3200.0,11000.0,15.0,0,95,0.157079633,0.002268928
exactView 1,9,5,22,2,6,806.0,821.0,0.0010400000000000001,101.2,100.0,,,,0,111,,1.7278759590000001
Express AM22 (Sesat 2),49,5,4,1,,35781.0,35790.0,0.00011,1436.06,2600.0,,6000.0,12.0,0,97,0.925722635,0.000349066
Express-2A (Ekspress A No. 2),48,5,4,1,,35783.0,35790.0,8e-05,1436.11,2600.0,,2500.0,10.0,0,97,1.7941984709999999,0.047996554000000004
"Express-A1R (Express 4A, Ekspress-A No. 4)",48,5,4,1,,35774.0,35798.0,0.00028,1436.1,2600.0,,6000.0,0.5,0,97,0.243822497,0.000349066
Express-AM2,48,5,4,1,,35785.0,35788.0,4e-05,1436.1,2542.0,,6000.0,12.0,0,97,1.396787,0.000698132
Express-AM3,48,5,4,1,,35777.0,35795.0,0.00021,1436.1,2600.0,,4200.0,12.0,0,97,2.4464280130000002,0.001570796
Express-AM33,48,5,4,1,,35782.0,35791.0,0.00011,1436.1,2600.0,,,12.0,0,98,1.684766327,0.000872665
Express-AM44,48,5,4,1,,35987.0,35995.0,9e-05,1446.57,2532.0,,,12.0,0,98,-0.19198621800000001,0.001919862
Express-AM5,48,5,4,1,,35420.0,35940.0,0.00618,1430.6,3400.0,,,15.0,0,98,2.443460953,0.0013962629999999998
Falconsat-3,65,3,44,2,,538.0,540.0,0.00014,95.4,46.0,,,,1,19,,0.617846555
"FAST 1 (Sara Lilly and Emma, USA 222)",65,0,44,2,6,627.0,654.0,0.00193,97.54,55.0,,,,7,75,,1.256113463
Fengniao 1 (Hummingbird 1),11,10,44,2,,488.0,500.0,0.0008699999999999999,94.49,,,,,18,58,,1.6990780269999999
Fengniao 1A (Hummingbird 1A),11,10,44,2,,488.0,500.0,0.0008699999999999999,94.49,,,,,18,58,,1.6990780269999999
Fengyun 2D (FY-2D),11,10,16,1,,35777.0,35791.0,0.00016999999999999999,1436.0,1390.0,620.0,,3.0,23,63,1.509884336,0.013439035
Fengyun 2E (FY-2E),11,10,16,1,,35767.0,35803.0,0.00043,1436.04,1390.0,620.0,,3.0,23,63,2.157052423,0.045553092999999996
Fengyun 2F (FY-2F),11,10,16,1,,35760.0,35816.0,0.00066,1436.19,1390.0,620.0,,3.0,23,63,1.832595715,0.038222711
Fengyun 3A (FY-3A),11,10,16,2,6,820.0,835.0,0.0010400000000000001,101.5,2300.0,,,,18,67,,1.720894642
Fengyun 3B (FY-3B),11,10,16,2,6,827.0,828.0,7e-05,101.5,2300.0,,,,18,67,,1.7243853009999999
Fengyun 3C (FY-3C),11,10,16,2,,827.0,828.0,7e-05,101.45,2300.0,,,,18,67,,1.7245598340000001
Fermi Gamma-Ray Space Telescope (formerly GLAST),65,10,1,2,,537.0,556.0,0.00137,95.6,4303.0,,,,1,29,,0.44680428899999997
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",65,15,30,2,,1101.0,1107.0,0.0004,107.35,,,,,21,19,,2.146580447
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",65,15,30,2,,1068.0,1107.0,0.0026100000000000003,107.0,,,,,21,33,,2.14675498
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",65,15,30,2,,1066.0,1081.0,0.00101,106.7,,,,,21,19,,2.14675498
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",65,2,41,2,,443.0,886.0,0.03149,98.0,2.0,,,3.0,21,19,,2.09963109
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",65,2,41,2,,443.0,886.0,0.03149,98.0,2.0,,,3.0,21,19,,2.09963109
Firefly,65,11,16,2,,500.0,506.0,0.00044,94.68,3.0,,,1.0,22,74,,0.70703288
FLTSATCOM-8 (USA 46),65,15,4,1,,35745.0,35829.0,0.001,1436.13,2310.0,1884.0,,5.0,1,21,-0.257261532,0.156556034
"Formosat-2 (ROCSAT-2, Republic of China Satellite 2)",58,13,31,2,6,890.0,893.0,0.00021,102.8,764.0,631.0,600.0,5.0,21,124,,1.7278759590000001
FORT (Fast On-orbit Recording of Transient Events),65,10,12,2,2,790.0,823.0,0.0023,101.0,215.0,41.0,55.0,3.0,21,93,,1.2217304759999998
FUNCube-1 (AO-73),43,0,4,2,,594.0,683.0,0.00635,97.4,1.0,,,,2,39,,1.7069320080000001
Galaxy-11,65,5,4,1,,35785.0,35795.0,0.00011999999999999999,1436.11,4488.0,2775.0,10400.0,14.0,3,1,-0.968657735,0.000872665
Galaxy-12,65,5,4,1,,35775.0,35796.0,0.00025,1436.07,1760.0,800.0,,15.0,3,7,-2.145009651,0.000872665
"Galaxy-13 (Horizons 1, Galaxy 13L)",71,5,4,1,,35781.0,35790.0,0.00011,1436.07,4060.0,2630.0,8600.0,15.0,15,137,-2.216044551,0.000174533
Galaxy-14,65,5,4,1,,35776.0,35795.0,0.00022999999999999998,1436.07,2086.0,,4700.0,15.0,0,111,-2.180963433,0.000174533
Galaxy-15,65,5,4,1,,35776.0,35795.0,0.00022999999999999998,1436.07,2033.0,,4700.0,15.0,3,7,-2.320764306,0.001047198
Galaxy-16,65,5,4,1,,35775.0,35798.0,0.00027,1436.1,4640.0,,10000.0,15.0,15,138,-1.728225025,0.000174533
Galaxy-17,65,5,4,1,,35774.0,35799.0,0.0003,1436.1,4100.0,,9500.0,15.0,3,8,-1.588424152,0.000349066
Galaxy-18,65,5,4,1,,35774.0,35798.0,0.00028,1436.1,4642.0,,,15.0,15,138,-2.147104046,0.000349066
Galaxy-19,65,5,4,1,,35776.0,35796.0,0.00023999999999999998,1436.1,4690.0,,,15.0,15,138,-1.694365638,0.000872665
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",65,5,4,1,,35771.0,35801.0,0.00036,1436.08,3515.0,,,13.0,0,97,-1.624727001,0.000523599
"Galaxy-26 (G-26, Intelsat 1A-6, Telstar 6)",65,5,4,1,,35778.0,35795.0,0.0002,1436.11,3765.0,1469.0,8100.0,13.0,0,97,-1.6233307369999999,0.000174533
"Galaxy-27 (G-27, Intelsat IA-7, Telstar 7)",65,5,4,1,,35776.0,35794.0,0.00021,1436.06,3790.0,1537.0,,13.0,3,5,-2.250253005,0.0
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",65,5,4,1,,35775.0,35798.0,0.00027,1436.1,5493.0,,16000.0,13.0,15,138,-1.552644903,0.000174533
Galaxy-3C,65,5,4,1,,35784.0,35788.0,5e-05,1436.11,4860.0,2873.0,18000.0,15.0,15,138,-1.658411855,0.000174533
Galileo IOV-1 FM2,13,9,28,3,,23242.0,23307.0,0.0011,846.98,700.0,,1420.0,12.0,3,111,,0.954171502
Galileo IOV-1 PFM,13,5,28,3,,23240.0,23306.0,0.0011099999999999999,846.88,700.0,,1420.0,12.0,3,111,,0.954346035
Galileo IOV-2 FM3,13,5,28,3,,23214.0,23233.0,0.00032,844.76,700.0,,1420.0,12.0,3,111,,0.965865208
Galileo IOV-2 FM4,13,5,28,3,,23217.0,23227.0,0.00016999999999999999,844.69,700.0,,1420.0,12.0,3,111,,0.965167076
Gaofen 1,11,10,31,2,,630.0,654.0,0.0017100000000000001,97.56,1000.0,,,0.5,5,25,,1.711644397
Garpun-1 (Cosmos 2473),48,15,4,1,,35782.0,35790.0,9e-05,1436.1,5000.0,,,,0,98,1.3945180719999999,0.001570796
Garuda-1 (Aces 1),30,5,4,1,,35774.0,35801.0,0.00032,1436.16,4291.0,2500.0,14000.0,12.0,0,95,2.147278579,0.021293017
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),12,5,44,2,6,593.0,819.0,0.015969999999999998,98.9,3.0,,,,2,39,,1.705186679
Genesis-1,65,5,44,2,,522.0,569.0,0.0034,95.6,1360.0,,,5.0,2,39,,1.125737368
Genesis-2,65,5,44,2,,508.0,586.0,0.00564,95.6,1360.0,,,5.0,24,39,,1.125737368
GeoEye-1 (Orbview 5),65,7,31,2,6,671.0,686.0,0.00106,98.3,1955.0,,,7.0,21,29,,1.712167996
Geotail (Geomagnetic Tail Laboratory),42,10,40,0,1,3905.0,104552.0,0.83044,2474.83,980.0,,273.0,,1,29,,0.38920842299999997
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",71,10,16,2,6,701.0,704.0,0.00021,98.8,1900.0,,4.05,5.0,19,49,,1.713913325
Globalstar M004 (Globalstar 4),65,5,4,2,2,1407.0,1412.0,0.00032,114.0,450.0,350.0,1500.0,10.0,1,37,,0.9075712109999999
Globalstar M006 (Globalstar 6),65,5,4,2,2,1413.0,1415.0,0.00013000000000000002,114.1,450.0,350.0,1500.0,10.0,1,37,,0.9075712109999999
Globalstar M023 (Globalstar 9),65,5,4,2,2,1406.0,1422.0,0.00103,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M025 (Globalstar 21),65,5,4,2,2,1412.0,1415.0,0.00018999999999999998,114.1,450.0,350.0,1500.0,10.0,1,37,,0.9075712109999999
Globalstar M027 (Globalstar 34),65,5,4,2,2,1412.0,1415.0,0.00018999999999999998,114.1,450.0,350.0,1500.0,10.0,1,37,,0.9075712109999999
Globalstar M028 (Globalstar 30),65,5,4,2,2,1412.0,1416.0,0.00026000000000000003,114.1,450.0,350.0,1500.0,10.0,1,37,,0.9075712109999999
Globalstar M029 (Globalstar 47),65,5,4,2,2,900.0,1413.0,0.03408,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M031 (Globalstar 44),65,5,4,2,2,1477.0,1478.0,5.9999999999999995e-05,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M037 (Globalstar 16),65,5,4,2,2,1411.0,1417.0,0.00039,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M039 (Globalstar 45),65,5,4,2,2,1411.0,1416.0,0.00032,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M040 (Globalstar 10),65,5,4,2,2,1415.0,1416.0,5.9999999999999995e-05,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M047 (Globalstar 23),65,5,4,2,2,1412.0,1415.0,0.00018999999999999998,114.1,450.0,350.0,1500.0,10.0,1,37,,0.9075712109999999
Globalstar M056 (Globalstar 43),65,5,4,2,2,1413.0,1414.0,5.9999999999999995e-05,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M059 (Globalstar 42),65,5,4,2,2,1413.0,1415.0,0.00013000000000000002,114.1,450.0,350.0,1500.0,10.0,0,110,,0.9075712109999999
Globalstar M063 (Globalstar 49),65,5,4,2,2,1413.0,1414.0,5.9999999999999995e-05,114.1,450.0,350.0,1500.0,10.0,1,37,,0.9075712109999999
Globalstar M065 (Globalstar 65),65,5,4,2,2,1411.0,1416.0,0.00032,114.1,450.0,350.0,1500.0,10.0,0,111,,0.9075712109999999
Globalstar M066 (Globalstar 66),65,5,4,2,2,1412.0,1415.0,0.00018999999999999998,114.1,450.0,350.0,1500.0,10.0,0,111,,0.9075712109999999
Globalstar M067 (Globalstar 67),65,5,4,2,2,1413.0,1414.0,5.9999999999999995e-05,114.1,450.0,350.0,1500.0,10.0,0,111,,0.9075712109999999
Globalstar M068 (Globalstar 68),65,5,4,2,2,1411.0,1414.0,0.00018999999999999998,114.0,450.0,350.0,1500.0,10.0,0,111,,0.9075712109999999
Globalstar M069 (Globalstar 69),65,5,4,2,2,1411.0,1416.0,0.00032,114.1,450.0,350.0,1500.0,10.0,0,111,,0.9075712109999999
Globalstar M070 (Globalstar 70),65,5,4,2,2,1412.0,1415.0,0.00018999999999999998,114.1,450.0,350.0,1500.0,10.0,0,111,,0.9075712109999999
