ID,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Expected_Lifetime,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
ELISA-W11 (ELectronic Intelligence by SAtellite),France,Military,Electronic Intelligence/Technology Development,LEO,Polar,675.0,692.0,0.00121,98.43,120.0,,,40894.0,,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,,1.714087858
ELISA-W23 (ELectronic Intelligence by SAtellite),France,Military,Electronic Intelligence/Technology Development,LEO,Polar,677.0,692.0,0.00106,98.45,120.0,,,40894.0,,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,,1.714087858
EO-1 (Earth Observing 1),USA,Government,Earth Observation/Research,LEO,Sun-Synchronous,678.0,690.0,0.00085,98.4,572.0,,600.0,36851.0,5.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.712167996
EOS-AM Terra,USA/Canada/Japan,Government,Earth Science,LEO,Sun-Synchronous,702.0,703.0,7e-05,98.8,4854.0,,2530.0,36512.0,6.0,USA,Vandenberg AFB,Atlas 2 AS,www.satellitedebris.net 12/12,,1.713913325
EOS-CHEM Aura,USA,Government,Remote Sensing,LEO,Sun-Synchronous,702.0,703.0,7e-05,98.8,2967.0,,4600.0,38183.0,5.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.713913325
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,Government,Earth Observation,LEO,Sun-Synchronous,701.0,704.0,0.00021,98.8,2934.0,2832.0,4860.0,37380.0,6.0,USA/Japan/Brazil,Vandenberg AFB,Delta,www.satellitedebris.net 12/12,,1.713913325
EROS A1 (Earth Resources Observation Satellite),Israel,Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,530.0,547.0,0.00123,95.4,240.0,,,36865.0,6.0,Israel,Svobodny Cosmodrome,Start 1,www.satellitedebris.net 12/12,,1.70344135
EROS B1 (Earth Resources Observation Satellite),Israel,Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,508.0,514.0,0.00044,94.8,350.0,,800.0,38832.0,10.0,Israel,Svobodny Cosmodrome,Start 1,www.satellitedebris.net 12/12,,1.699950691
e-st@r,Italy,Civil,Technology Development,Elliptical,,306.0,1313.0,0.07013,101.08,,1.0,,40952.0,1.0,Italy,Guiana Space Center,Vega,SC - ASCR,,1.212654764
EstCube-1,Estonia,Civil,Technology Development,LEO,Sun-Synchronous,658.0,671.0,0.00092,98.03,1.0,,,41401.0,1.0,Estonia,Guiana Space Center,Vega,SC - ASCR,,1.712691595
Eurasiasat 1 (Turksat 2A),Turkey/France,Commercial,Communications,GEO,,35761.0,35810.0,0.00058,1436.06,3535.0,1900.0,9000.0,36901.0,15.0,France,Guiana Space Center,Ariane 4,JM/12_08,0.734434549,0.000349066
"Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)",Multinational,Commercial,Communications,GEO,,35776.0,35796.0,0.00024,1436.09,4167.0,1729.0,12000.0,36828.0,18.0,France,Guiana Space Center,Ariane 44LP,JM/12_08,0.786096295,0.0
Eutelsat 10A (Eutelsat W-2A),Multinational,Commercial,Communications,GEO,,35781.0,35822.0,0.00049,1436.09,5900.0,,,39906.0,15.0,France,Baikonur Cosmodrome,Proton M,JM/7_09,0.174532925,0.000523599
Eutelsat 12 West A (Atlantic Bird 1),Multinational,Commercial,Communications,GEO,,35768.0,35805.0,0.00044,1436.1,2700.0,1550.0,5100.0,37496.0,15.0,Italy,Guiana Space Center,Ariane 5G,JM/12_08,-0.216944426,0.001919862
Eutelsat 16A (Eutelsat W3C),Multinational,Commercial,Communications,GEO,,35779.0,35795.0,0.00019,1436.12,5400.0,,,40823.0,,France,Xichang Satellite Launch Center,Long March 3B,JM/1_12,0.27925268,0.003490659
"Eutelsat 16B (Eurobird 16, Atlantic Bird 4, Hot Bird 4)",Multinational,Commercial,Communications,GEO,,35762.0,35810.0,0.00057,1436.1,2885.0,1310.0,6000.0,35853.0,14.0,France/UK/Germany,Guiana Space Center,Ariane 4,JM/12_08,-0.125489173,0.000349066
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",Multinational,Commercial,Communications,GEO,,35754.0,35817.0,0.00075,1436.06,2500.0,,5600.0,36633.0,,France/Russia,Baikonur Cosmodrome,Proton K,JM/12_08,0.627620399,0.00122173
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",Multinational,Commercial,Communications,GEO,,35772.0,35799.0,0.00032,1436.1,5000.0,,13000.0,38715.0,16.0,France/Italy,Baikonur Cosmodrome,Proton M,JM/12_08,3.003013511,0.000174533
"Eutelsat 48C (Eutelsat 21A, W-6, Eutelsat W-3)",Multinational,Commercial,Communications,GEO,,35770.0,35802.0,0.00038,1436.09,2490.0,1380.0,5800.0,36262.0,12.0,France,Guiana Space Center,Ariane 4,JM/12_08,0.837758041,0.00122173
Eutelsat 25B (EsÕhail 1),Multinational,Commercial,Communications,GEO,,35725.0,35767.0,0.0005,1434.03,,,,41515.0,15.0,USA,Guiana Space Center,Ariane 5 ECA,ZARYA,0.445058959,0.0013962629999999998
"Eutelsat 25C (Eutelsat 70A, Eutelsat W-5)",Multinational,Commercial,Communications,GEO,,35780.0,35790.0,0.00012,1436.04,3170.0,1900.0,5900.0,37580.0,12.0,France,Cape Canaveral,Atlas 2 AS,JM/12_08,0.445058959,0.000349066
"Eutelsat 28A (Eurobird 1, Eurosat 1)",Multinational,Commercial,Communications,GEO,,35788.0,35794.0,7e-05,1436.1,2950.0,1375.0,5900.0,36958.0,12.0,France,Guiana Space Center,Ariane 5,JM/12_08,0.498466034,0.00122173
"Eutelsat 33A (Eurobird 3, E-bird)",Multinational,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.06,1525.0,1300.0,1600.0,37891.0,10.0,USA,Guiana Space Center,Ariane 5,JM/12_08,0.578402114,0.000872665
Eutelsat 36A (Eutelsat W-4),Multinational,Commercial,Communications,GEO,,35766.0,35806.0,0.00047,1436.08,3190.0,1380.0,6000.0,36670.0,12.0,France,Cape Canaveral,Atlas 3A,JM/12_08,0.629889327,0.00122173
Eutelsat 36B (Eutelsat W-7),Multinational,Commercial,Communications,GEO,,35786.0,35787.0,1e-05,1436.09,5600.0,,13200.0,40141.0,15.0,France,Baikonur Cosmodrome,Breeze M,SC - ASCR,0.628318531,0.00122173
"Eutelsat 3A (Sinosat-5C, Sinosat-3, Xinnuo 3, Chinasat-5C, XN-3)",Multinational,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.08,2200.0,,,39233.0,8.0,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,0.027925268,0.000174533
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,Commercial,Communications,GEO,,35766.0,35806.0,0.00047,1436.07,4892.0,2240.0,11000.0,39855.0,15.0,France,Guiana Space Center,Ariane 5 ECA,SC - ASCR,-0.00122173,0.001047198
Eutelsat 3D,Multinational,Commercial,Communications,GEO,,35784.0,35794.0,0.00012,1436.21,5404.0,,,41408.0,15.0,France,Baikonur Cosmodrome,Proton M,ZARYA,0.052359878,0.000523599
"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",Multinational,Commercial,Communications,GEO,,35757.0,35815.0,0.0006900000000000001,1436.07,2915.0,1700.0,,35390.0,14.0,France/UK/Germany,Cape Canaveral,Delta 2,JM/12_08,0.158475896,0.0013962629999999998
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",Multinational,Commercial,Communications,GEO,,35777.0,35797.0,0.00024,1436.12,5102.0,2060.0,,41223.0,15.0,Italy,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.837758041,0.001570796
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)",Multinational,Commercial,Communications,GEO,,35769.0,35805.0,0.00043,1436.08,4050.0,1805.0,11000.0,37442.0,15.0,France,Guiana Space Center,Ariane 5,JM/12_08,-0.086044732,0.000698132
Eutelsat 7 West A (Atlantic Bird 7),Multinational,Commercial,Communications,GEO,,35774.0,35799.0,0.0003,1436.09,4600.0,,12000.0,40810.0,15.0,France,Sea Launch (Odyssey),Zenit 3SL,JM/1_12,-0.122173048,0.001047198
Eutelsat 70B (Eutelsat W5A),Multinational,Commercial,Communications,GEO,,35780.0,35800.0,0.00024,1436.28,5250.0,,,41246.0,15.0,France,Sea Launch (Odyssey),Zenit 3SL,SC - ASCR,1.2217304759999998,0.001047198
Eutelsat 7A (Eutelsat W3A),Multinational,Commercial,Communications,GEO,,35769.0,35802.0,0.00039,1436.07,4300.0,2000.0,,38061.0,15.0,France,Baikonur Cosmodrome,Proton M,JM/12_08,0.123220245,0.001047198
Eutelsat 8 West A (Atlantic Bird 2),Multinational,Commercial,Communications,GEO,,35766.0,35806.0,0.00047,1436.1,3150.0,1368.0,7400.0,37159.0,15.0,France,Guiana Space Center,Ariane 4,JM/12_08,-0.141197136,0.001047198
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",Multinational,Commercial,Communications,GEO,,35775.0,35799.0,0.00028,1436.1,4100.0,1740.0,10000.0,38787.0,15.0,France,Guiana Space Center,Ariane 5,JM/12_08,-0.523773309,0.00122173
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",Multinational,Commercial,Communications,GEO,,35756.0,35815.0,0.0007,1436.06,3800.0,1900.0,9000.0,37496.0,12.0,France,Cape Canaveral,Atlas 5,JM/12_08,0.13962634,0.001570796
Eutelsat Hot Bird 13B (Hot Bird 8),Multinational,Commercial,Communications,GEO,,35759.0,35812.0,0.00063,1436.06,4900.0,,14000.0,38933.0,15.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M/Breeze M,JM/12_08,0.228289066,0.000349066
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,Commercial,Communications,GEO,,35786.0,35787.0,1e-05,1436.09,4880.0,2338.0,14500.0,39802.0,15.0,France,Guiana Space Center,Ariane 5,JM/12_08,0.01727876,0.001047198
Eutelsat KA-SAT 9A (KA-SAT),Multinational,Commercial,Communications,GEO,,35714.0,35856.0,0.00168,1436.01,6150.0,3200.0,11000.0,40538.0,15.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,SC - ASCR,0.157079633,0.002268928
exactView 1,Canada,Commercial,Maritime Tracking,LEO,Sun-Synchronous,806.0,821.0,0.00104,101.2,100.0,,,41112.0,,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,,1.727875959
Express AM22 (Sesat 2),Russia/Multinational,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.06,2600.0,,6000.0,37983.0,12.0,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,0.925722635,0.000349066
Express-2A (Ekspress A No. 2),Russia,Commercial,Communications,GEO,,35783.0,35790.0,8e-05,1436.11,2600.0,,2500.0,36597.0,10.0,Russia,Baikonur Cosmodrome,Proton K,JM/12_08,1.794198471,0.047996554
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,Commercial,Communications,GEO,,35774.0,35798.0,0.00028,1436.1,2600.0,,6000.0,37417.0,0.5,Russia,Baikonur Cosmodrome,Proton K,JM/12_08,0.243822497,0.000349066
Express-AM2,Russia,Commercial,Communications,GEO,,35785.0,35788.0,4e-05,1436.1,2542.0,,6000.0,38440.0,12.0,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,1.396787,0.000698132
Express-AM3,Russia,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.1,2600.0,,4200.0,38527.0,12.0,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,2.446428013,0.001570796
Express-AM33,Russia,Commercial,Communications,GEO,,35782.0,35791.0,0.00011,1436.1,2600.0,,,39475.0,12.0,Russia/France,Baikonur Cosmodrome,Proton M,JM/12_08,1.684766327,0.000872665
Express-AM44,Russia,Commercial,Communications,GEO,,35987.0,35995.0,9e-05,1446.57,2532.0,,,39855.0,12.0,Russia/France,Baikonur Cosmodrome,Proton M,SC - ASCR,-0.191986218,0.001919862
Express-AM5,Russia,Commercial,Communications,GEO,,35420.0,35940.0,0.00618,1430.6,3400.0,,,41634.0,15.0,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,2.443460953,0.0013962629999999998
Falconsat-3,USA,Civil/Military,Technology Development,LEO,,538.0,540.0,0.00014,95.4,46.0,,,39150.0,,USA,Cape Canaveral,Atlas 5,www.satellitedebris.net 12/12,,0.617846555
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,Civil,Technology Development,LEO,Sun-Synchronous,627.0,654.0,0.00193,97.54,55.0,,,40502.0,,USA,Kodiak Launch Complex,Minotaur 4,SC - ASCR,,1.256113463
Fengniao 1 (Hummingbird 1),China (PR),Government,Technology Development,LEO,,488.0,500.0,0.0008699999999999999,94.49,,,,41233.0,,China (PR),Taiyuan Launch Center,Long March 2C,ZARYA,,1.699078027
Fengniao 1A (Hummingbird 1A),China (PR),Government,Technology Development,LEO,,488.0,500.0,0.0008699999999999999,94.49,,,,41233.0,,China (PR),Taiyuan Launch Center,Long March 2C,ZARYA,,1.699078027
Fengyun 2D (FY-2D),China (PR),Government,Earth Science,GEO,,35777.0,35791.0,0.00017,1436.0,1390.0,620.0,,39059.0,3.0,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,1.509884336,0.013439035
Fengyun 2E (FY-2E),China (PR),Government,Earth Science,GEO,,35767.0,35803.0,0.00043,1436.04,1390.0,620.0,,39805.0,3.0,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,2.157052423,0.045553093
Fengyun 2F (FY-2F),China (PR),Government,Earth Science,GEO,,35760.0,35816.0,0.00066,1436.19,1390.0,620.0,,40920.0,3.0,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/5_12,1.832595715,0.038222711
Fengyun 3A (FY-3A),China (PR),Government,Earth Science,LEO,Sun-Synchronous,820.0,835.0,0.00104,101.5,2300.0,,,39595.0,,China (PR),Taiyuan Launch Center,Long March 4C,www.satellitedebris.net 12/12,,1.720894642
Fengyun 3B (FY-3B),China (PR),Government,Earth Science,LEO,Sun-Synchronous,827.0,828.0,7e-05,101.5,2300.0,,,40486.0,,China (PR),Taiyuan Launch Center,Long March 4C,www.satellitedebris.net 12/12,,1.724385301
Fengyun 3C (FY-3C),China (PR),Government,Earth Science,LEO,,827.0,828.0,7e-05,101.45,2300.0,,,41540.0,,China (PR),Taiyuan Launch Center,Long March 4C,ZARYA,,1.724559834
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,Government,Astrophysics,LEO,,537.0,556.0,0.00137,95.6,4303.0,,,39610.0,,USA,Cape Canaveral,Delta 2,www.satellitedebris.net 12/12,,0.446804289
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA,Military,Reconnaissance,LEO,,1101.0,1107.0,0.0004,107.35,,,,40442.0,,USA,Vandenberg AFB,Atlas 5,SC - ASCR,,2.146580447
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA,Military,Reconnaissance,LEO,,1068.0,1107.0,0.0026100000000000003,107.0,,,,41002.0,,USA,Vandenberg AFB,Delta 4,,,2.14675498
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",USA,Military,Reconnaissance,LEO,,1066.0,1081.0,0.00101,106.7,,,,41614.0,,USA,Vandenberg AFB,Atlas 5,ZARYA estimated,,2.14675498
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,Civil/Government,Space Science,LEO,,443.0,886.0,0.03149,98.0,2.0,,,41614.0,3.0,USA,Vandenberg AFB,Atlas 5,ZARYA,,2.09963109
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,Civil/Government,Space Science,LEO,,443.0,886.0,0.03149,98.0,2.0,,,41614.0,3.0,USA,Vandenberg AFB,Atlas 5,ZARYA,,2.09963109
Firefly,USA,Government/Civil,Earth Science,LEO,,500.0,506.0,0.00044,94.68,3.0,,,41597.0,1.0,USA,Wallops Island Flight Facility,Minotaur 1,ZARYA,,0.70703288
FLTSATCOM-8 (USA 46),USA,Military,Communications,GEO,,35745.0,35829.0,0.001,1436.13,2310.0,1884.0,,32776.0,5.0,USA,Cape Canaveral,Atlas Centaur,JM/2_09,-0.257261532,0.156556034
"Formosat-2 (ROCSAT-2, Republic of China Satellite 2)",Taiwan,Government/Military,Remote Sensing,LEO,Sun-Synchronous,890.0,893.0,0.00021,102.8,764.0,631.0,600.0,38128.0,5.0,France/UK/Germany/Taiwan,Vandenberg AFB,Taurus XL,www.satellitedebris.net 12/12,,1.727875959
FORT (Fast On-orbit Recording of Transient Events),USA,Government,Earth Observation,LEO,Intermediate,790.0,823.0,0.0023,101.0,215.0,41.0,55.0,35671.0,3.0,USA,Vandenberg AFB,Pegasus XL,www.satellitedebris.net 12/12,,1.2217304759999998
FUNCube-1 (AO-73),Netherlands,Civil,Communications,LEO,,594.0,683.0,0.00635,97.4,1.0,,,41599.0,,UK/Netherlands,Dombarovsky Launch Facility,Dnepr,ZARYA,,1.706932008
Galaxy-11,USA,Commercial,Communications,GEO,,35785.0,35795.0,0.00012,1436.11,4488.0,2775.0,10400.0,36181.0,14.0,USA,Guiana Space Center,Ariane 4,,-0.968657735,0.000872665
Galaxy-12,USA,Commercial,Communications,GEO,,35775.0,35796.0,0.00025,1436.07,1760.0,800.0,,37720.0,15.0,USA,Guiana Space Center,Ariane 5,JM/12_08,-2.145009651,0.000872665
"Galaxy-13 (Horizons 1, Galaxy 13L)",USA/Japan,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.07,4060.0,2630.0,8600.0,37895.0,15.0,USA,Sea Launch (Odyssey),Zenit 3,JM/12_08,-2.216044551,0.000174533
Galaxy-14,USA,Commercial,Communications,GEO,,35776.0,35795.0,0.00023,1436.07,2086.0,,4700.0,38577.0,15.0,USA,Baikonur Cosmodrome,Soyuz-Fregat,JM/12_08,-2.180963433,0.000174533
Galaxy-15,USA,Commercial,Communications,GEO,,35776.0,35795.0,0.00023,1436.07,2033.0,,4700.0,38638.0,15.0,USA,Guiana Space Center,Ariane 5,JM/12_08,-2.320764306,0.001047198
Galaxy-16,USA,Commercial,Communications,GEO,,35775.0,35798.0,0.00027,1436.1,4640.0,,10000.0,38886.0,15.0,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.728225025,0.000174533
Galaxy-17,USA,Commercial,Communications,GEO,,35774.0,35799.0,0.0003,1436.1,4100.0,,9500.0,39206.0,15.0,France/Italy,Guiana Space Center,Ariane 5 ECA,JM/12_08,-1.588424152,0.000349066
Galaxy-18,USA,Commercial,Communications,GEO,,35774.0,35798.0,0.00028,1436.1,4642.0,,,39589.0,15.0,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-2.147104046,0.000349066
Galaxy-19,USA,Commercial,Communications,GEO,,35776.0,35796.0,0.00024,1436.1,4690.0,,,39715.0,15.0,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.694365638,0.000872665
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,Commercial,Communications,GEO,,35771.0,35801.0,0.00036,1436.08,3515.0,,,35574.0,13.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.624727001,0.000523599
"Galaxy-26 (G-26, Intelsat 1A-6, Telstar 6)",USA,Commercial,Communications,GEO,,35778.0,35795.0,0.0002,1436.11,3765.0,1469.0,8100.0,36206.0,13.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.623330737,0.000174533
"Galaxy-27 (G-27, Intelsat IA-7, Telstar 7)",USA,Commercial,Communications,GEO,,35776.0,35794.0,0.00021,1436.06,3790.0,1537.0,,36428.0,13.0,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-2.250253005,0.0
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,Commercial,Communications,GEO,,35775.0,35798.0,0.00027,1436.1,5493.0,,16000.0,38526.0,13.0,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.552644903,0.000174533
Galaxy-3C,USA,Commercial,Communications,GEO,,35784.0,35788.0,5e-05,1436.11,4860.0,2873.0,18000.0,37422.0,15.0,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.658411855,0.000174533
Galileo IOV-1 FM2,ESA,Commerical,Navigation/Global Positioning,MEO,,23242.0,23307.0,0.0011,846.98,700.0,,1420.0,40837.0,12.0,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,,0.954171502
Galileo IOV-1 PFM,ESA,Commercial,Navigation/Global Positioning,MEO,,23240.0,23306.0,0.00111,846.88,700.0,,1420.0,40837.0,12.0,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,,0.954346035
Galileo IOV-2 FM3,ESA,Commercial,Navigation/Global Positioning,MEO,,23214.0,23233.0,0.00032,844.76,700.0,,1420.0,41194.0,12.0,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,,0.965865208
Galileo IOV-2 FM4,ESA,Commercial,Navigation/Global Positioning,MEO,,23217.0,23227.0,0.00017,844.69,700.0,,1420.0,41194.0,12.0,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,,0.965167076
Gaofen 1,China (PR),Government,Remote Sensing,LEO,,630.0,654.0,0.00171,97.56,1000.0,,,41390.0,0.5,China (PR),Jiuquan Satellite Launch Center,Chang Zheng 2D,SC - ASCR,,1.711644397
Garpun-1 (Cosmos 2473),Russia,Military,Communications,GEO,,35782.0,35790.0,9e-05,1436.1,5000.0,,,40806.0,,Russia,Baikonur Cosmodrome,Proton M,JM/1_12,1.394518072,0.001570796
Garuda-1 (Aces 1),Indonesia/Philippines/Thailand,Commercial,Communications,GEO,,35774.0,35801.0,0.00032,1436.16,4291.0,2500.0,14000.0,36568.0,12.0,USA,Baikonur Cosmodrome,Proton,JM/12_08,2.147278579,0.021293017
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),Denmark,Commercial,Technology Development,LEO,Sun-Synchronous,593.0,819.0,0.015969999999999998,98.9,3.0,,,41599.0,,Denmark,Dombarovsky Launch Facility,Dnepr,ZARYA,,1.705186679
Genesis-1,USA,Commercial,Technology Development,LEO,,522.0,569.0,0.0034,95.6,1360.0,,,38910.0,5.0,USA,Dombarovsky Launch Facility,Dnepr,www.satellitedebris.net 12/12,,1.125737368
Genesis-2,USA,Commercial,Technology Development,LEO,,508.0,586.0,0.00564,95.6,1360.0,,,39261.0,5.0,USA,Yasny Cosmodrome,Dnepr,www.satellitedebris.net 12/12,,1.125737368
GeoEye-1 (Orbview 5),USA,Commercial/Government,Remote Sensing,LEO,Sun-Synchronous,671.0,686.0,0.00106,98.3,1955.0,,,39697.0,7.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.712167996
Geotail (Geomagnetic Tail Laboratory),Multinational,Government,Space Physics,Elliptical,Deep Highly Eccentric,3905.0,104552.0,0.83044,2474.83,980.0,,273.0,33809.0,,USA,Cape Canaveral,Delta 2,JMSatcat304,,0.389208423
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",USA/Japan,Government,Earth Science,LEO,Sun-Synchronous,701.0,704.0,0.00021,98.8,1900.0,,4.05,41046.0,5.0,Japan,Tanegashima Space Center,H-II2,www.satellitedebris.net 12/12,,1.713913325
Globalstar M004 (Globalstar 4),USA,Commercial,Communications,LEO,Intermediate,1407.0,1412.0,0.00032,114.0,450.0,350.0,1500.0,35840.0,10.0,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,,0.907571211
Globalstar M006 (Globalstar 6),USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013000000000000002,114.1,450.0,350.0,1500.0,35909.0,10.0,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,,0.907571211
Globalstar M023 (Globalstar 9),USA,Commercial,Communications,LEO,Intermediate,1406.0,1422.0,0.00103,114.1,450.0,350.0,1500.0,36200.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M025 (Globalstar 21),USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,450.0,350.0,1500.0,36321.0,10.0,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,,0.907571211
Globalstar M027 (Globalstar 34),USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,450.0,350.0,1500.0,36389.0,10.0,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,,0.907571211
Globalstar M028 (Globalstar 30),USA,Commercial,Communications,LEO,Intermediate,1412.0,1416.0,0.00026000000000000003,114.1,450.0,350.0,1500.0,36366.0,10.0,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,,0.907571211
Globalstar M029 (Globalstar 47),USA,Commercial,Communications,LEO,Intermediate,900.0,1413.0,0.03408,114.1,450.0,350.0,1500.0,36486.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M031 (Globalstar 44),USA,Commercial,Communications,LEO,Intermediate,1477.0,1478.0,6e-05,114.1,450.0,350.0,1500.0,36451.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M037 (Globalstar 16),USA,Commercial,Communications,LEO,Intermediate,1411.0,1417.0,0.00039,114.1,450.0,350.0,1500.0,36234.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M039 (Globalstar 45),USA,Commercial,Communications,LEO,Intermediate,1411.0,1416.0,0.00032,114.1,450.0,350.0,1500.0,36486.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M040 (Globalstar 10),USA,Commercial,Communications,LEO,Intermediate,1415.0,1416.0,6e-05,114.1,450.0,350.0,1500.0,36200.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M047 (Globalstar 23),USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,450.0,350.0,1500.0,36321.0,10.0,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,,0.907571211
Globalstar M056 (Globalstar 43),USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,450.0,350.0,1500.0,36451.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M059 (Globalstar 42),USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013000000000000002,114.1,450.0,350.0,1500.0,36451.0,10.0,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,0.907571211
Globalstar M063 (Globalstar 49),USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,450.0,350.0,1500.0,36564.0,10.0,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,,0.907571211
